Sentence,Aspect Term,Polarity
"The apple care has never failed me, and I expect it to be the same for this computer as well.",apple care,Positive
The Toshiba laptop I am using is easier to use than most I have tried.,use,Positive
"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",warranty,Negative
So we exchanged it for the same on and after 2 hours it didn't work.,work,Negative
"I love the size, keyboard, the functions.",size,Positive
"I love the size, keyboard, the functions.",keyboard,Positive
"I love the size, keyboard, the functions.",functions,Positive
the mouse is way way way to sensitve.,mouse,Negative
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS,Positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,run,Positive
"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.",screen,Negative
"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.",delivery service,Negative
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,Positive
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",picture quality,Positive
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",use,Positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.,i3 processor,Positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.,fan,Positive
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,Negative
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,Negative
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,Negative
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",mousepad,Neutral
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",keys,Neutral
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",casing,Neutral
See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.,operating system,Neutral
"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",resolution of the screen,Negative
"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",touchpad,Negative
very convenient when you travel and the battery life is excellent...,battery life,Positive
Â  The machine is slow to boot up and occasionally crashes completely.,boot up,Negative
This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.,charge,Positive
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,OS,Negative
the screen brightness automatically adjusts.,screen brightness,Positive
I especially like the backlit keyboard.,backlit keyboard,Positive
"Besides the great look, it is a great machine.",look,Positive
"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",cost,Negative
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",sound,Negative
