Sentence,Aspect Term,Polarity
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,Negative
It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,Positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,Positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,Positive
Came fully loaded - good.,loaded,Positive
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",Windows 7,Neutral
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",Vista,Negative
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",Vista,Negative
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",windows,Neutral
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Windows XP,Positive
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,Negative
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,Negative
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,Negative
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",Negative
Â  But I needed a laptop for school use.,school use,Neutral
This is the complete opposite to an ergonomic design.,design,Negative
I would like at least a 4 hr. battery life.,battery life,Negative
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,Negative
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,Positive
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,Negative
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,Negative
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,Positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,Positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,Positive
Theres a built in camera with special effects- for video and photography.,built in camera,Positive
All for such a great price.,price,Positive
"Â  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,Negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,Negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,Negative
It has good speed and plenty of hard drive space.,speed,Positive
It has good speed and plenty of hard drive space.,hard drive space,Positive
Clear picture on it and everything.,picture,Positive
"They said that my computer was covered on an extended warranty, and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,Negative
"They said that my computer was covered on an extended warranty, and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,Negative
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,Positive
"Screen is awesome, battery life is good.",Screen,Positive
"Screen is awesome, battery life is good.",battery life,Positive
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,Positive
The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,Negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,Negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,Negative
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,Negative
