Sentence,Aspect Term,Polarity
As well as having the plug in the computer come loose.,plug,Negative
Second HDD cover has walls inside that need to be broken if you what to install one.,HDD cover,Negative
If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,Neutral
Great product by Apple with the new great looking design.,design,Positive
I love the keyboard.,keyboard,Positive
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto,Positive
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,Positive
"The screen isn't huge, but that doesn't matter when I output media to the 50 inch LCD TV.",screen,Neutral
I will have to purchase Spy ware or Nortell for privacy protection.,Spy ware,Negative
I will have to purchase Spy ware or Nortell for privacy protection.,Nortell,Negative
I was said it's videocard.,videocard,Neutral
For the price and what I get out of it has exceeded my expectations.,price,Positive
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",drivers,Negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,Negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,keyboard,Neutral
"Â  Now, as easy as it is to use, and I do think it is a great STARTER laptop.",use,Positive
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,Negative
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",screen size,Negative
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",pixel sizes,Negative
It had some kind of pre installed software update that completely shut the computer down when you clicked it.,pre installed software update,Negative
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,Negative
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",toshiba customer services,Negative
"Also, the space bar makes a noisy click every time you use it.",space bar,Negative
iPhotos is an excellent program for storing and organizing photos.,iPhotos,Positive
iPhotos is an excellent program for storing and organizing photos.,program,Positive
Other than that its a great performing machine and well meets all my needs and more.,performing,Positive
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,Negative
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,Neutral
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,Neutral
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,Positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,Positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imail,Positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imovie,Positive
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,Neutral
Comfterbale to use light easy to transport.,use,Positive
Comfterbale to use light easy to transport.,transport,Positive
The Computer itself is a good product but the repair depot stinks.,repair depot,Negative
I thought the price was great for the specs.,price,Positive
I thought the price was great for the specs.,specs,Positive
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,Negative
"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,Neutral
Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,Negative
I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,Positive
Everything from the design to the OS is simple and to the point.,design,Positive
Everything from the design to the OS is simple and to the point.,OS,Positive
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,Negative
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming look,Positive
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming performance,Positive
This just keeps having it's hard drive replaced!,hard drive,Negative
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost,Negative
The only downfall is the volume control.,volume control,Negative
Very fast boot up and shut down.,boot up,Positive
Very fast boot up and shut down.,shut down,Positive
I finally decided on this laptop because it was the right price for what I need it.,price,Positive
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",internet connectivity,Negative
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",USB wireless card,Neutral
I had read online that some users were having sound problems.,sound,Negative
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost,Positive
It discharges too quickly.,discharges,Negative
"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.",compatibility,Negative
Then it ceased charging at all.,charging,Negative
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",stand,Negative
