Sentence,Aspect Term,Polarity
"Otherwise, all other features are a 1",features,Negative
The performance is awesome.,performance,Positive
The display is beyond horrible.,display,Negative
There is hardly any memory on the computer's hard drive.,memory,Negative
There is hardly any memory on the computer's hard drive.,hard drive,Negative
"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,Negative
"Next, most Acer laptop fans are on the bottom which is right on your laptop.",fans,Negative
the laptop preformed pretty well.,preformed,Positive
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,Positive
I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS,Negative
"The minute you fire it up it's all good, very easy user interface.",user interface,Positive
Â  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,warrenty,Negative
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",iDVD,Positive
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,Positive
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,Positive
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive,Negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,battery,Negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive,Negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,battery,Negative
"I love the easy to see screen, and It works well for work, persoal or just play.",screen,Positive
"I love the easy to see screen, and It works well for work, persoal or just play.",works,Positive
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing,Positive
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",surfing,Positive
the mouse pad and buttons are the worst i've ever seen.,mouse pad,Negative
the mouse pad and buttons are the worst i've ever seen.,buttons,Negative
Awesome graphics!,graphics,Positive
It really is perfect for work and play.,play,Positive
It really is perfect for work and play.,work,Positive
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,Negative
