Sentence,Aspect Term,Polarity
Fan noise: The fan made a constant hissing noise in the background.,Fan,Negative
Fan noise: The fan made a constant hissing noise in the background.,fan,Negative
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,Positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,Positive
It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,Positive
It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,Neutral
The feature are good enough for what I need.,feature,Positive
"Finally, the biggest problem has been tech support.",tech support,Negative
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,Negative
With Windows laptops a wireless mouse is an absolute must.,wireless mouse,Neutral
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,Positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,Positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,Neutral
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,Neutral
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,Negative
Very good quality and well made.,quality,Positive
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,Positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,Neutral
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,Positive
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,Neutral
It was super easy to set up and Is really easy to get used to.,set up,Positive
"The only thing that can be updated is the video, other than that you're all set.",video,Neutral
Its a good laptop for its value.,value,Positive
Then the hard drive failed;,hard drive,Negative
"Plain and simple, it(laptop) runs great and loads fast.",runs,Positive
"Plain and simple, it(laptop) runs great and loads fast.",loads,Positive
of course my warranty runs out next month.,warranty,Neutral
The capabilities using that program alone made me want a Mac.,program,Positive
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,Negative
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,Negative
"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,Positive
This is a great value for the money.,value,Positive
"It was a great laptop, ran great and was really fast.",ran,Positive
The battery has never worked well.,battery,Negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,Negative
The only problem is a lack of screen resolutions!,screen resolutions,Negative
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,Positive
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,Negative
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,Negative
"It has many great programs, such as ILife, iPhotos and others.",programs,Positive
"It has many great programs, such as ILife, iPhotos and others.",ILife,Positive
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,Positive
"The processor went on me, the fan went and the motherboard went.",processor,Negative
"The processor went on me, the fan went and the motherboard went.",fan,Negative
"The processor went on me, the fan went and the motherboard went.",motherboard,Negative
It is very well built.,built,Positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,Positive
The screen resolution was exactly what I was looking for.,screen resolution,Positive
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,Negative
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Word,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Excel,Neutral
