Sentence,Aspect Term,Polarity
Ease of use is just one of the benefits I love about my Mac.,use,Positive
Ease of use is just one of the benefits I love about my Mac.,use,Positive
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",MS Office,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",budget,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,Positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",budget,Positive
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,power,Positive
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,flexibility,Positive
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port,Negative
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,S-video port,Negative
The speakers on it are useless too.,speakers,Negative
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,Positive
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,surfing the web,Neutral
Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto,Positive
"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they ""expedited"" the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed, by a ""Senior Tech"".",Senior Tech,Negative
"Some features arent friendly ( volume wheel, sound quality, etc.",volume wheel,Negative
"Some features arent friendly ( volume wheel, sound quality, etc.",sound quality,Negative
"Some features arent friendly ( volume wheel, sound quality, etc.",features,Negative
"A cheaper price should not equal a ""cheap"" product.",price,Negative
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",manual,Negative
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",hard drive,Neutral
Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,Positive
Adjust the sensitivity since it's not that responsive to begin with.,sensitivity,Negative
"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.",battery life,Negative
"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.",battery,Negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",battery life,Negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",case,Negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",core applications,Negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",system,Negative
Â  Later it held zero charge and its replacement worked for less than three months.,charge,Negative
Â  The company sent me a whole new cord overnight and apologized.,cord,Positive
It's even easy to hook up to other wireless networks.,hook up to other wireless networks,Positive
"Â  Also, I have had alot of trouble with the shift key to go to other lines.",shift key,Negative
"The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.",rep,Negative
It gives me the power and speed that I need to run all the programs I use to edit.,power,Positive
It gives me the power and speed that I need to run all the programs I use to edit.,speed,Positive
It gives me the power and speed that I need to run all the programs I use to edit.,programs,Neutral
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,iLife,Positive
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,Microsoft Office,Positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",portability,Positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",longevity,Positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",use,Positive
Â  Again I sent it back and they replaced the motherboard and some fan inside.,motherboard,Negative
Â  Again I sent it back and they replaced the motherboard and some fan inside.,fan,Negative
"Fully charged, the MacBook Pro can last about five hours unplugged.",charged,Positive
"Even though it is much more expensive than many PC laptops, it is worth the price.",price,Positive
"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price,Negative
"For me, keys were starting to get stuck and wouldn't type very well.",keys,Negative
can't reinstall with standard os cd because of proprietary hardware drivers.,standard os cd,Negative
can't reinstall with standard os cd because of proprietary hardware drivers.,proprietary hardware drivers,Negative
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",battery,Negative
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",charge,Negative
The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.,delivery,Negative
The first programm I switched on was a game for my children.,programm,Neutral
I have been very pleased with the performance of this laptop.,performance,Positive
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",battery life,Positive
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",response,Positive
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",Internet focused activity,Neutral
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,features,Positive
It is sleek and lightweight and charges quickly when needed.,charges,Positive
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",size,Positive
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",look,Positive
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",feature,Positive
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",charge,Neutral
( The iBook backup also uses a firewire connection).,iBook backup,Neutral
( The iBook backup also uses a firewire connection).,firewire connection,Neutral
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",camera,Negative
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",specifications,Neutral
Also the display is exceptional!,display,Positive
The computer was shipped to their repair depotÂ  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,repair depot,Negative
