Sentence,Aspect Term,Polarity
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Features,Neutral
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Performance,Negative
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Battery Life,Positive
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Price,Negative
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Value,Negative
Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.,windows,Negative
The graphics are stunning.,graphics,Positive
"(I found a 2GB stick for a bit under $50) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",system,Positive
after much effort and 10 days ASUS replaced itThe WiFi is very weak.,WiFi,Negative
You can call HP and they want you to buy more software to fix it.,software,Negative
It is easy to navigate and update programs.,update programs,Positive
It is easy to navigate and update programs.,navigate,Positive
", Applications respond immediately (not like the tired MS applications).",Applications,Positive
", Applications respond immediately (not like the tired MS applications).",MS applications,Negative
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service,Positive
"The only drawback for me is how dirty the screen gets, and rather quickly too.",screen,Negative
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",carry,Positive
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",weight,Positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",applications,Positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",programs,Positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",Internet tabs,Positive
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,noises,Negative
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,bottom of the computer,Negative
I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician,Positive
defective software.,software,Negative
This computer was so challenging to carry and handle.,carry,Negative
This computer was so challenging to carry and handle.,handle,Negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,Cords,Negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,power,Neutral
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,headphones,Neutral
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,mic,Neutral
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,network connection,Neutral
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,setup,Negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,cords,Negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,cords,Negative
Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,power supply,Negative
It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.,Core2 Quad,Positive
It is good to know that I can mobilize without having to worry about the battery life.,battery life,Positive
"The screen is nice, side view angles are pretty good.",screen,Positive
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,Positive
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,Positive
3 weeks went by and the computer keeps crashing and will not open any applications.,applications,Negative
Not to mention sometimes the whole charger unit will decide not to work entirely.,charger unit,Negative
"Looks nice, but has a horribly cheap feel.",feel,Negative
"Looks nice, but has a horribly cheap feel.",Looks,Positive
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,Positive
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signal,Negative
"The feel of this is better than the Toshiba, too.",feel,Positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,Positive
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",memory,Neutral
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Windows 7 Starter,Neutral
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Win 7 Home,Neutral
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",runs,Positive
"I am not sure if it was the drive itself, however;",drive,Neutral
"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",edges,Negative
"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",incase shells,Neutral
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",keyboard,Positive
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",weight,Positive
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",use,Positive
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",shipping,Negative
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",repair center,Negative
I should have checked this before I installed my applications.,applications,Neutral
The battery is really long.,battery,Positive
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",DVD burner,Negative
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",power supply,Negative
Had some trouble finding a case that it would fit in.,case,Negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,keyboard,Negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,keyboard functions,Negative
Comes with iMovie;,iMovie,Neutral
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,SERVICE FACILITY,Negative
When I called Sony the Customer Service was Great.,Customer Service,Positive
Â  even though I had the receipt in front of me proving it still had 2 months left on the warranty.,warranty,Neutral
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",programs,Positive
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",system,Positive
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",using the internet,Positive
"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.",buttons,Negative
Not even safe mode boots.,safe mode,Negative
"This is an over-sized, 18-inch laptop.",18-inch,Neutral
I had to pay $100 for a universal charger for this cheap $300 laptop.,universal charger,Negative
The powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.,powerpoint,Positive
1.You can not change your desktop background (window's 7 starter does NOT support that function).,desktop background,Negative
1.You can not change your desktop background (window's 7 starter does NOT support that function).,window's 7 starter,Negative
1.You can not change your desktop background (window's 7 starter does NOT support that function).,function,Negative
